ID da consulta,ID do documento,ordem no ranking,score
10.2452/201-AH,PUBLICO-19951112-059,1,"0,98"
10.2452/201-AH,PUBLICO-19951226-051,2,"0,87"
10.2452/201-AH,PUBLICO-19951226-054,3,"0,86"
10.2452/201-AH,PUBLICO-19951228-051,4,"0,85"
10.2452/201-AH,PUBLICO-19951230-053,5,"0,84"
10.2452/260-AH,FSP940120-130,1,"0,97"
10.2452/260-AH,FSP940123-188,2,"0,96"
10.2452/260-AH,FSP940213-188,3,"0,95"
10.2452/260-AH,FSP940224-067,4,"0,94"
10.2452/260-AH,FSP940302-108,5,"0,93"
10.2452/260-AH,FSP940311-192,6,"0,92"
